,x_coor,y_coor,frame
348,314,124,46
349,530,112,46
350,302,389,47
351,386,322,47
352,39,322,47
353,386,316,47
354,397,313,47
355,454,292,47
356,337,292,47
357,458,284,47
358,316,138,47
359,314,124,47
360,391,65,47
361,302,389,48
362,39,322,48
363,385,321,48
364,396,312,48
365,335,293,48
366,458,284,48
367,314,135,48
368,314,124,48
369,391,65,48
370,302,389,49
371,39,322,49
372,385,321,49
373,396,312,49
374,335,292,49
375,313,131,49
376,302,389,50
377,397,323,50
378,385,322,50
379,39,322,50
380,396,312,50
381,335,292,50
382,455,290,50
383,458,283,50
384,374,283,50
385,424,133,50
386,297,108,50
387,390,64,50
388,302,389,51
389,39,322,51
390,384,321,51
391,397,313,51
392,335,292,51
393,455,290,51
394,459,283,51
395,90,247,51
396,449,205,51
397,255,195,51
398,298,108,51
399,392,64,51
400,400,426,52
401,302,389,52
402,39,322,52
403,384,321,52
404,396,320,52
405,397,314,52
406,455,289,52
407,459,282,52
408,424,130,52
409,302,389,53
410,39,322,53
411,384,321,53
412,397,319,53
413,455,289,53
414,458,282,53
415,389,265,53
416,315,123,53
417,307,123,53
418,302,389,54
419,385,322,54
420,39,322,54
421,396,312,54
422,459,281,54
423,302,389,55
424,39,322,55
425,384,321,55
426,396,313,55
427,460,281,55
428,253,193,55
429,302,389,56
430,39,322,56
431,373,285,56
432,459,280,56
433,392,61,56
434,302,389,57
435,39,322,57
436,384,321,57
437,455,288,57
438,460,280,57
439,310,125,57
440,316,122,57
441,302,389,58
442,39,322,58
443,385,321,58
444,455,290,58
445,350,194,58
446,347,188,58
447,316,123,58
448,39,322,59
449,455,290,59
450,334,287,59
451,461,279,59
452,316,123,59
453,39,322,60
454,455,290,60
455,334,288,60
456,460,279,60
457,350,191,60
458,316,123,60
459,392,60,60
460,39,322,61
461,253,193,61
462,316,123,61
463,392,59,61
464,301,392,62
465,39,322,62
466,456,290,62
467,334,285,62
468,461,278,62
469,250,190,62
470,345,184,62
471,316,123,62
472,392,59,62
473,39,322,63
474,87,245,63
475,355,191,63
476,345,184,63
477,316,123,63
478,303,388,64
479,39,322,64
480,255,279,64
481,461,277,64
482,345,184,64
483,316,123,64
484,392,58,64
485,39,322,65
486,456,289,65
487,389,287,65
488,333,283,65
489,461,277,65
490,347,184,65
491,316,123,65
492,39,322,66
493,456,289,66
494,356,190,66
495,249,189,66
496,347,184,66
497,316,123,66
498,303,390,67
499,39,322,67
500,254,278,67
501,461,276,67
502,395,268,67
503,358,189,67
504,348,184,67
505,316,123,67
506,305,123,67
507,39,322,68
508,416,289,68
509,356,189,68
510,347,182,68
511,393,56,68
512,39,322,69
513,456,288,69
514,403,269,69
515,397,268,69
516,248,188,69
517,393,56,69
518,39,322,70
519,456,288,70
520,462,275,70
521,398,268,70
522,247,189,70
523,39,322,71
524,456,288,71
525,414,283,71
526,248,189,71
527,317,123,71
528,394,55,71
529,39,322,72
530,415,283,72
531,298,124,72
532,531,95,72
533,394,55,72
534,39,322,73
535,248,189,73
536,301,124,73
537,414,121,73
538,39,322,74
539,301,124,74
540,394,54,74
541,39,322,75
542,255,275,75
543,301,124,75
544,293,116,75
545,394,53,75
546,39,322,76
547,558,268,76
548,86,242,76
549,547,199,76
550,301,124,76
551,442,335,77
552,39,322,77
553,301,124,77
554,394,52,77
555,39,322,78
556,457,286,78
557,85,242,78
558,301,124,78
559,395,52,78
560,39,322,79
561,84,241,79
562,497,206,79
563,547,194,79
564,301,124,79
565,39,322,80
566,301,124,80
567,395,51,80
568,305,389,81
569,39,322,81
570,496,205,81
571,301,124,81
572,395,51,81
573,305,389,82
574,39,322,82
575,458,285,82
576,279,134,82
577,301,124,82
578,251,0,82
579,39,322,83
580,458,285,83
581,349,177,83
582,277,137,83
583,301,124,83
584,251,0,83
585,39,322,84
586,275,140,84
587,301,124,84
588,39,322,85
589,463,270,85
590,374,181,85
591,350,177,85
592,273,142,85
593,301,124,85
594,396,49,85
595,39,322,86
596,463,270,86
597,375,180,86
598,271,144,86
599,301,124,86
600,250,0,86
601,39,322,87
602,329,271,87
603,445,179,87
604,301,124,87
605,250,0,87
606,39,322,88
